"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","770","Verify user can retrieve booking by id","","2026-05-15","passed","2026-05-15","","api.rest.tests.BookingApiCRUDTest","api.rest.tests.BookingApiCRUDTest","getBookingByIdTest"
"","2822","Verify user can add new record","","2026-05-15","passed","2026-05-15","","ui.tests.WebTableTest","ui.tests.WebTableTest","addNewRecordTest"
"","407","Verify user cannot get auth token with invalid credentials Invalid credentials: username=wrongUser, password=password123","","2026-05-15","passed","2026-05-15","","api.rest.tests.AuthenticationTest","api.rest.tests.AuthenticationTest","receiveAuthTokenWithInvalidCredentialsTest"
"","143","Should return movies list with pagination","","2026-05-15","passed","2026-05-15","","api.graphql.tests.GQLPositiveTest","api.graphql.tests.GQLPositiveTest","returnMoviesWithPaginationTest"
"","387","Verify user can filter bookings by check-in and check-out dates","","2026-05-15","passed","2026-05-15","","api.rest.tests.SearchAndFilterTest","api.rest.tests.SearchAndFilterTest","getBookingsByDatesTest"
"","383","Verify user can get auth token","","2026-05-15","passed","2026-05-15","","api.rest.tests.AuthenticationTest","api.rest.tests.AuthenticationTest","receiveAuthTokenTest"
"","87","Should return parse error for a malformed GraphQL query","","2026-05-15","passed","2026-05-15","","api.graphql.tests.GQLNegativeTest","api.graphql.tests.GQLNegativeTest","returnSyntaxErrorForMalformedQueryTest"
"","1838","Should return null for a non-existent movie ID","","2026-05-15","passed","2026-05-15","","api.graphql.tests.GQLNegativeTest","api.graphql.tests.GQLNegativeTest","returnNullForInvalidMovieIdTest"
"","1534","Verify user can delete booking by id","","2026-05-15","passed","2026-05-15","","api.rest.tests.BookingApiCRUDTest","api.rest.tests.BookingApiCRUDTest","deleteBookingByIdTest"
"","290","Should retrieve a movie by ID using GraphQL variables","","2026-05-15","passed","2026-05-15","","api.graphql.tests.GQLPositiveTest","api.graphql.tests.GQLPositiveTest","retrieveMovieByIdTestUsingGraphqlVariables"
"","2907","Verify user can search a record","","2026-05-15","passed","2026-05-15","","ui.tests.WebTableTest","ui.tests.WebTableTest","searchRecordTest"
"","363","Verify user can create booking","","2026-05-15","passed","2026-05-15","","api.rest.tests.BookingApiCRUDTest","api.rest.tests.BookingApiCRUDTest","сreateBookingTest"
"","530","Verify booking response schema","","2026-05-15","passed","2026-05-15","","api.rest.tests.ValidationAPITest","api.rest.tests.ValidationAPITest","bookingSchemaValidationTest"
"","401","Verify user cannot get auth token with invalid credentials Invalid credentials: username=, password=","","2026-05-15","passed","2026-05-15","","api.rest.tests.AuthenticationTest","api.rest.tests.AuthenticationTest","receiveAuthTokenWithInvalidCredentialsTest"
"","410","Verify booking response contains required fields","","2026-05-15","passed","2026-05-15","","api.rest.tests.ValidationAPITest","api.rest.tests.ValidationAPITest","requiredFieldsValidationTest"
"","737","Verify user can filter bookings by firstname","","2026-05-15","passed","2026-05-15","","api.rest.tests.SearchAndFilterTest","api.rest.tests.SearchAndFilterTest","getBookingsByFirstnameTest"
"","153","Should return validation error for requesting a non-existent field","","2026-05-15","passed","2026-05-15","","api.graphql.tests.GQLNegativeTest","api.graphql.tests.GQLNegativeTest","returnValidationErrorForNonExistentFieldTest"
"","388","Verify user cannot get auth token with invalid credentials Invalid credentials: username=wrongUser, password=wrongPassword","","2026-05-15","passed","2026-05-15","","api.rest.tests.AuthenticationTest","api.rest.tests.AuthenticationTest","receiveAuthTokenWithInvalidCredentialsTest"
"","3219","Verify user can delete arecord","","2026-05-15","passed","2026-05-15","","ui.tests.WebTableTest","ui.tests.WebTableTest","deleteRecordTest"
